cantNod,Tiempo_ms,Tipo
7,0.002717,FuncionComplej
7,0.002739,FuncionComplej
7,0.002723,FuncionComplej
7,0.002682,FuncionComplej
7,0.002764,FuncionComplej
7,0.002703,FuncionComplej
7,0.002704,FuncionComplej
7,0.002783,FuncionComplej
7,0.002716,FuncionComplej
7,0.01208,FuncionComplej
7,0.002771,FuncionComplej
7,0.002804,FuncionComplej
7,0.011634,FuncionComplej
7,0.002687,FuncionComplej
7,0.01283,FuncionComplej
7,0.002792,FuncionComplej
7,0.002942,FuncionComplej
7,0.012035,FuncionComplej
7,0.002714,FuncionComplej
7,0.002678,FuncionComplej
7,0.002838,FuncionComplej
7,0.002693,FuncionComplej
7,0.002714,FuncionComplej
7,0.002758,FuncionComplej
7,0.002681,FuncionComplej
7,0.002701,FuncionComplej
7,0.002746,FuncionComplej
7,0.002752,FuncionComplej
7,0.002694,FuncionComplej
7,0.002799,FuncionComplej
7,0.002726,FuncionComplej
7,0.002699,FuncionComplej
8,0.004167,FuncionComplej
8,0.004014,FuncionComplej
8,0.003985,FuncionComplej
8,0.004053,FuncionComplej
8,0.004004,FuncionComplej
8,0.004048,FuncionComplej
8,0.004053,FuncionComplej
8,0.004124,FuncionComplej
8,0.00398,FuncionComplej
8,0.013475,FuncionComplej
8,0.00411,FuncionComplej
8,0.012935,FuncionComplej
8,0.00397,FuncionComplej
8,0.003975,FuncionComplej
8,0.003998,FuncionComplej
8,0.003972,FuncionComplej
8,0.004024,FuncionComplej
8,0.014052,FuncionComplej
8,0.004083,FuncionComplej
8,0.004102,FuncionComplej
8,0.004181,FuncionComplej
8,0.013339,FuncionComplej
8,0.003985,FuncionComplej
8,0.003983,FuncionComplej
8,0.003978,FuncionComplej
8,0.00425,FuncionComplej
8,0.00425,FuncionComplej
8,0.004199,FuncionComplej
8,0.003988,FuncionComplej
8,0.003971,FuncionComplej
8,0.003989,FuncionComplej
8,0.004004,FuncionComplej
8,0.004235,FuncionComplej
8,0.0041,FuncionComplej
8,0.004125,FuncionComplej
8,0.003993,FuncionComplej
8,0.004095,FuncionComplej
8,0.003975,FuncionComplej
8,0.004048,FuncionComplej
8,0.003964,FuncionComplej
9,0.005718,FuncionComplej
9,0.005685,FuncionComplej
9,0.005734,FuncionComplej
9,0.005737,FuncionComplej
9,0.00576,FuncionComplej
9,0.005797,FuncionComplej
9,0.005592,FuncionComplej
9,0.005603,FuncionComplej
9,0.005975,FuncionComplej
9,0.005643,FuncionComplej
9,0.005603,FuncionComplej
9,0.005606,FuncionComplej
9,0.005598,FuncionComplej
9,0.005632,FuncionComplej
9,0.005655,FuncionComplej
9,0.005631,FuncionComplej
9,0.005682,FuncionComplej
9,0.005648,FuncionComplej
9,0.005739,FuncionComplej
9,0.005672,FuncionComplej
9,0.005764,FuncionComplej
9,0.005581,FuncionComplej
9,0.005698,FuncionComplej
9,0.005621,FuncionComplej
9,0.005713,FuncionComplej
9,0.005715,FuncionComplej
9,0.00557,FuncionComplej
9,0.005688,FuncionComplej
9,0.005736,FuncionComplej
9,0.005698,FuncionComplej
9,0.005628,FuncionComplej
9,0.005607,FuncionComplej
9,0.005617,FuncionComplej
9,0.005635,FuncionComplej
9,0.00563,FuncionComplej
9,0.005687,FuncionComplej
9,0.005615,FuncionComplej
9,0.005635,FuncionComplej
9,0.005611,FuncionComplej
9,0.005658,FuncionComplej
10,0.007779,FuncionComplej
10,0.007663,FuncionComplej
10,0.007643,FuncionComplej
10,0.033883,FuncionComplej
10,0.016503,FuncionComplej
