x,y
0.354144,50
0.485538,55
0.550474,60
0.701792,65
0.754792,70
0.693336,75
0.841648,80
0.988282,85
1.05043,90
1.38093,95
1.38506,100
1.76582,105
1.40083,110
1.98528,115
2.23852,120
2.44967,125
2.59091,130
2.63629,135
2.10903,140
2.68965,145
3.01008,150
3.43286,155
3.51304,160
3.56862,165
3.46902,170
4.61907,175
5.06643,180
5.26486,185
5.17185,190
4.96302,195
6.12135,200
5.62273,205
6.5917,210
6.36252,215
7.11868,220
6.43765,225
6.8687,230
7.15598,235
7.35385,240
8.17253,245
9.12562,250
8.45091,255
9.1174,260
9.4374,265
9.72957,270
10.0032,275
10.0066,280
10.6408,285
10.7208,290
9.60219,295
10.6075,300
13.8794,305
12.8287,310
10.5535,315
10.9298,320
13.3964,325
12.0926,330
14.3621,335
15.4558,340
15.4538,345
18.3894,350
16.0201,355
13.8982,360
17.5351,365
17.7493,370
18.0695,375
18.4776,380
19.97,385
20.8934,390
21.0068,395
23.2499,400
