x,y
0.000161986,0
0.000136166,5
0.000172907,10
0.000161986,15
0.000153718,20
0.000138982,25
0.000158163,30
0.000161024,35
0.000137585,40
0.000144751,45
0.000174277,50
0.00014005,55
0.000136357,60
0.000136166,65
0.000146108,70
0.000142367,75
0.00015935,80
0.000149951,85
0.000172046,90
0.000163368,95
0.000167033,100
0.000160754,105
0.000132202,110
0.000131838,115
0.000135518,120
0.000133402,125
0.000195264,130
0.000144893,135
0.000145115,140
0.000173786,145
0.000164421,150
0.000146942,155
0.000144976,160
0.000181861,165
0.000145185,170
0.000141941,175
0.000163075,180
0.000143298,185
0.000141741,190
0.000147523,195
0.000134322,200
0.000139754,205
0.000137171,210
0.00014071,215
0.000147793,220
0.000168014,225
0.000168768,230
0.000154188,235
0.000173509,240
0.000146688,245
0.000154319,250
0.000163175,255
0.000135647,260
0.000154319,265
0.000138202,270
0.000151641,275
0.000159051,280
0.000162006,285
0.000142629,290
0.000159712,295
0.000161661,300
0.000141344,305
0.000139404,310
0.00015682,315
0.000150554,320
0.000148922,325
0.000154589,330
0.000181544,335
0.000144963,340
0.00014942,345
0.000162886,350
0.000162842,355
0.000156994,360
0.000150102,365
0.000159762,370
0.000155723,375
0.00017471,380
0.000157981,385
0.000139118,390
0.000142619,395
0.000161024,400
0.000147874,405
0.000144595,410
0.000147776,415
0.000151532,420
0.000140469,425
0.000155703,430
0.000161288,435
0.000145485,440
0.000140221,445
0.000140869,450
0.000140326,455
0.000148335,460
0.000151135,465
0.000169311,470
0.00015066,475
0.000141076,480
0.000145737,485
0.000144165,490
0.000144141,495
0.00015457,500
0.000170464,505
0.000190914,510
0.000141704,515
0.000195385,520
0.000154555,525
0.00015122,530
0.000165557,535
0.000159845,540
0.000156069,545
0.000157316,550
0.000142107,555
0.000150842,560
0.000148263,565
0.000143621,570
0.000140658,575
0.000182018,580
0.000174058,585
0.000140963,590
0.000141977,595
0.000150122,600
0.00014642,605
0.000158951,610
0.000139969,615
0.000139786,620
0.000167379,625
0.000155488,630
0.000138514,635
0.000185845,640
0.000139826,645
0.000142975,650
0.000168099,655
0.000157019,660
0.000158751,665
0.000141237,670
0.000165859,675
0.00014904,680
0.000144318,685
0.000178022,690
0.000172729,695
0.000171885,700
0.000146184,705
0.000137937,710
0.000159623,715
0.000156127,720
0.000138955,725
0.000145663,730
0.000140807,735
0.000141978,740
0.000164355,745
0.000135959,750
0.000134677,755
0.000139544,760
0.000154781,765
0.000138376,770
0.00014541,775
0.000143464,780
0.000170962,785
0.000155302,790
0.000135865,795
0.000161918,800
0.000139432,805
0.000143961,810
0.000145231,815
0.000138122,820
0.000177984,825
0.000140605,830
0.000153198,835
0.000140767,840
0.000132251,845
0.000137339,850
0.000134225,855
0.000132272,860
0.000140258,865
0.000132144,870
0.000131612,875
0.000131605,880
0.000131301,885
0.000131107,890
0.000143805,895
0.000133188,900
0.000131513,905
0.000131495,910
0.000141726,915
0.000130027,920
0.000130624,925
0.000132089,930
0.000131108,935
0.000129713,940
0.000129406,945
0.000129586,950
0.000129323,955
0.000129519,960
0.000129042,965
0.00012959,970
0.000128595,975
0.000128748,980
0.0001328,985
0.000132734,990
0.000132651,995
